file,label,score,学生,老师
frame_000045.jpg,学生,0.2922,0.2922,0.2849
frame_000046.jpg,学生,0.2939,0.2939,0.2749
frame_000055.jpg,老师,0.2766,0.2372,0.2766
frame_000056.jpg,老师,0.2666,0.2487,0.2666
frame_000057.jpg,老师,0.2642,0.2593,0.2642
frame_000058.jpg,老师,0.271,0.2617,0.271
frame_000059.jpg,老师,0.2808,0.2483,0.2808
frame_000060.jpg,老师,0.2739,0.2542,0.2739
frame_000061.jpg,老师,0.269,0.2551,0.269
frame_000068.jpg,老师,0.2803,0.2605,0.2803
frame_000069.jpg,老师,0.2861,0.2393,0.2861
frame_000070.jpg,老师,0.2805,0.2417,0.2805
frame_000071.jpg,老师,0.2766,0.2395,0.2766
frame_000072.jpg,老师,0.2803,0.2473,0.2803
frame_000073.jpg,老师,0.2896,0.2544,0.2896
frame_000074.jpg,老师,0.2815,0.2429,0.2815
frame_000075.jpg,老师,0.2668,0.205,0.2668
frame_000076.jpg,老师,0.26,0.2037,0.26
frame_000077.jpg,老师,0.2585,0.2013,0.2585
frame_000078.jpg,老师,0.2622,0.219,0.2622
frame_000080.jpg,学生,0.2238,0.2238,0.2123
frame_000081.jpg,学生,0.2379,0.2379,0.1915
frame_000082.jpg,学生,0.2466,0.2466,0.2102
frame_000083.jpg,学生,0.2307,0.2307,0.1914
frame_000084.jpg,学生,0.2627,0.2627,0.2109
frame_000085.jpg,学生,0.2573,0.2573,0.2073
frame_000089.jpg,学生,0.2549,0.2549,0.2371
frame_000090.jpg,学生,0.2502,0.2502,0.2233
frame_000091.jpg,学生,0.2356,0.2356,0.2329
frame_000092.jpg,老师,0.2561,0.2374,0.2561
frame_000093.jpg,老师,0.2546,0.2454,0.2546
frame_000094.jpg,老师,0.2588,0.2474,0.2588
frame_000095.jpg,老师,0.2612,0.2534,0.2612
frame_000096.jpg,老师,0.2805,0.2646,0.2805
frame_000097.jpg,学生,0.2625,0.2625,0.26
frame_000098.jpg,老师,0.2576,0.2524,0.2576
frame_000099.jpg,学生,0.2368,0.2368,0.234
frame_000100.jpg,学生,0.2546,0.2546,0.2456
frame_000101.jpg,老师,0.282,0.272,0.282
frame_000102.jpg,老师,0.2766,0.2742,0.2766
frame_000103.jpg,学生,0.2754,0.2754,0.2722
frame_000104.jpg,学生,0.2791,0.2791,0.2734
frame_000105.jpg,学生,0.2773,0.2773,0.2703
frame_000106.jpg,学生,0.2839,0.2839,0.2803
frame_000107.jpg,老师,0.2886,0.2805,0.2886
frame_000108.jpg,老师,0.2886,0.2849,0.2886
frame_000110.jpg,老师,0.2676,0.2418,0.2676
frame_000111.jpg,老师,0.2659,0.2352,0.2659
frame_000112.jpg,老师,0.262,0.2362,0.262
frame_000113.jpg,老师,0.2474,0.2271,0.2474
frame_000114.jpg,老师,0.2512,0.2302,0.2512
frame_000119.jpg,老师,0.2043,0.2013,0.2043
frame_000120.jpg,老师,0.2102,0.2087,0.2102
frame_000121.jpg,学生,0.2086,0.2086,0.1962
frame_000125.jpg,老师,0.2355,0.2313,0.2355
frame_000131.jpg,老师,0.2336,0.2316,0.2336
frame_000132.jpg,老师,0.2355,0.2001,0.2355
frame_000133.jpg,老师,0.2429,0.203,0.2429
frame_000134.jpg,老师,0.2456,0.2131,0.2456
frame_000135.jpg,老师,0.2185,0.2153,0.2185
frame_000136.jpg,老师,0.2284,0.2098,0.2284
frame_000137.jpg,老师,0.2213,0.2037,0.2213
frame_000138.jpg,老师,0.2261,0.2109,0.2261
frame_000139.jpg,学生,0.2397,0.2397,0.2378
frame_000140.jpg,学生,0.2366,0.2366,0.2257
frame_000141.jpg,老师,0.262,0.248,0.262
frame_000148.jpg,学生,0.2607,0.2607,0.1959
frame_000149.jpg,学生,0.2717,0.2717,0.2041
frame_000150.jpg,学生,0.2386,0.2386,0.1907
frame_000157.jpg,老师,0.2656,0.249,0.2656
frame_000158.jpg,老师,0.2905,0.2764,0.2905
frame_000159.jpg,老师,0.2489,0.2419,0.2489
frame_000160.jpg,学生,0.2578,0.2578,0.2484
frame_000161.jpg,学生,0.2898,0.2898,0.2893
frame_000162.jpg,学生,0.2886,0.2886,0.2817
frame_000163.jpg,老师,0.2991,0.2959,0.2991
frame_000164.jpg,老师,0.2832,0.2825,0.2832
frame_000165.jpg,学生,0.293,0.293,0.2754
frame_000166.jpg,老师,0.2996,0.2949,0.2996
frame_000167.jpg,老师,0.3,0.2905,0.3
frame_000168.jpg,老师,0.2827,0.2739,0.2827
frame_000169.jpg,老师,0.2542,0.2438,0.2542
frame_000170.jpg,学生,0.2561,0.2561,0.2413
frame_000171.jpg,老师,0.244,0.2417,0.244
frame_000173.jpg,老师,0.226,0.2241,0.226
frame_000174.jpg,学生,0.2374,0.2374,0.2292
frame_000175.jpg,学生,0.2311,0.2311,0.2208
frame_000176.jpg,学生,0.2333,0.2333,0.229
frame_000177.jpg,学生,0.2272,0.2272,0.2228
frame_000178.jpg,学生,0.2363,0.2363,0.2244
frame_000179.jpg,老师,0.2402,0.2391,0.2402
frame_000190.jpg,学生,0.2659,0.2659,0.2554
frame_000191.jpg,学生,0.2788,0.2788,0.2439
frame_000192.jpg,老师,0.2512,0.2449,0.2512
frame_000193.jpg,老师,0.2742,0.2443,0.2742
frame_000194.jpg,老师,0.2573,0.2328,0.2573
frame_000195.jpg,学生,0.2683,0.2683,0.2671
frame_000196.jpg,老师,0.2859,0.2773,0.2859
frame_000197.jpg,老师,0.2661,0.2617,0.2661
frame_000198.jpg,老师,0.2747,0.271,0.2747
frame_000199.jpg,老师,0.2773,0.2749,0.2773
frame_000201.jpg,老师,0.2537,0.2222,0.2537
frame_000202.jpg,老师,0.2583,0.2455,0.2583
frame_000203.jpg,老师,0.2355,0.225,0.2355
frame_000204.jpg,老师,0.2395,0.223,0.2395
frame_000205.jpg,老师,0.2371,0.2197,0.2371
frame_000216.jpg,老师,0.2462,0.2341,0.2462
frame_000217.jpg,老师,0.2654,0.25,0.2654
